date,network,direction,wallet,txhash,counterparty,tokenSymbol,source,signal
2025-02-07T12:49:35Z,ETHEREUM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0xb9aa79a5d19bacb015a21eff0dbdcff44c593fb99180bec4a1ca5d9000af441b,0xc36442b4a4522e871399cd717abdd847ab11fe88,,method,"mint((address token0, address token1, uint24 fee, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline) params) pay"
2025-04-18T10:28:04Z,MANTLE,ENTRY,0x1a87f12ac07e9746e9b053b8d7ef1d45270d693f,0xa394ac9529221012f10496272cc7dce11398a07bac6605f4ef8dc0d5a9fb9724,0x0000000000000000000000000000000000000000,PENDLE-LPT,lp_token,received LP token value=337770372625447709 dec=18
2025-04-28T17:59:36Z,MANTLE,ENTRY,0x1a87f12ac07e9746e9b053b8d7ef1d45270d693f,0xdfda0f14ec08ea8a7be3dea07655e26cba155fb70a3d1dd9f5d008d4d2dc6545,0x0000000000000000000000000000000000000000,PENDLE-LPT,lp_token,received LP token value=55136126882925873 dec=18
2025-05-06T17:35:58Z,MANTLE,ENTRY,0x1a87f12ac07e9746e9b053b8d7ef1d45270d693f,0x512b5f45973b5cb9756ffbf173d51d753348aaeb34e3eaec0b3c1d27a67ffe53,0x0000000000000000000000000000000000000000,PENDLE-LPT,lp_token,received LP token value=26273180282485919 dec=18
2025-05-08T04:19:42Z,MANTLE,ENTRY,0x1a87f12ac07e9746e9b053b8d7ef1d45270d693f,0xd65ac1bb219ac4c4010010ed8b72f54847f9e206bd88134260a94d552baf0617,0x0000000000000000000000000000000000000000,PENDLE-LPT,lp_token,received LP token value=27092556084134510 dec=18
2025-05-11T04:24:19Z,OPTIMISM,ENTRY,0x1a87f12ac07e9746e9b053b8d7ef1d45270d693f,0xba342b0e8b470fea7467ec9e100d33c6e95e1eae4628c9dad588ddd76741584c,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-05-12T11:10:33Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x3a7084689490574d34a7a2e0ce5352b79c31a9c1c77a98779efc72089c4d5bc5,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-05-13T16:16:01Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x63652f186e15f97c2a5309e2caf416c6bc227dd3e446c60fa6eac1ee84a74f11,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-05-13T16:20:01Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0xf3f2c3dec188aaaa84dc87eba88d9ccb545b40c02b2a46d52ae2a3f65d183a9c,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-05-13T16:42:35Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0xf9d2598e14004fd3b2ed70343b642a1abeb79a8ba1b2d0d2ab48b085e598544c,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-05-13T16:51:13Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0xc2fa264cee920c1217594f9bf4079598920b48f24e3d595a8e61c4cab7469050,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-05-15T08:25:05Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x4015135fe220e0c4a71e3d56795cfdaa424c85e0351129346b03d6200a9798c1,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-05-17T22:11:19Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x3eae332651a8db31cdc75df6abab046e5b0df34e69647bf8ba61634895790039,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-05-17T22:25:09Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x787e754ebddd5b42b0b8e72492af31a5a895de12569e9e8ad16f39d771771df6,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"increaseLiquidity((uint256 tokenId, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, uint256 deadline) params) payable returns (uint128 liquidity, uint256 amount0, uint256 amount1)"
2025-05-18T13:38:55Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x9d01d6180ba687243865f9257ce6d909d519a54cfc4c42b014aa9c85c5ec1c75,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"increaseLiquidity((uint256 tokenId, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, uint256 deadline) params) payable returns (uint128 liquidity, uint256 amount0, uint256 amount1)"
2025-06-05T18:37:57Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x0566d283cdfe44eaee013fe8a7bedad9c9238b674b3f32d6233741573cd0d12c,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-06-05T18:38:29Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x19646b5d519aad92663facbbb43a25d169a0a2e9b713a896edee636889d0dd11,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-06-05T18:40:01Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0xa3e4f0ed99332968129468a871ba8eeed6bce6cc30c1709bfb597c1ddb388d92,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-06-05T18:41:37Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x2d2a8f1b46e832a7de5259a39864bed397f9010ade07f0347d4acff7e524cd88,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-06-05T18:44:13Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0xf2f2c8fe7486f8e6b6f09a7ff69513cf40fd1f66e5429c1f9eb374d651ffe538,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"increaseLiquidity((uint256 tokenId, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, uint256 deadline) params) payable returns (uint128 liquidity, uint256 amount0, uint256 amount1)"
2025-06-09T09:22:01Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x567597b49edc7d10b93236f1f52c9228df53399e4f45fe44f9e9724c2993021b,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"increaseLiquidity((uint256 tokenId, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, uint256 deadline) params) payable returns (uint128 liquidity, uint256 amount0, uint256 amount1)"
2025-06-17T17:41:50Z,MANTLE,EXIT,0x1a87f12ac07e9746e9b053b8d7ef1d45270d693f,0x89b5f24e36c75635f944a6d87667754bf9ad94062cf6e1f4b2092bdf02fd85de,0xec3fb79d229ef53c8b5cd64c171097ffc8a00dc5,PENDLE-LPT,lp_token,sent LP token value=446272235874994011 dec=18
2025-06-17T17:56:15Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x8deb9230de631860dbb6f20e79cb6ba439f72dd68a94a286d0340e74b84c5c92,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-06-17T17:56:37Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x457c9803afcc6b866b5043c743a88396b4088990e92fc42b6089ed8d986cd168,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-06-17T17:57:13Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x4321fccb3a36a521361779ace120bce594d6a4c61addf093308bd56aabdac125,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-06-24T08:20:33Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x3b857123d39d1fd08ee9f6aeff4649e8b3414cbe3a18eda85050ed99af2dab01,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-07-02T08:25:49Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0xeb5f648f68b4524a1e28b37f32306a42bc14b761dc2b9c1aaa6818a734876952,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-07-02T08:26:09Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0xf9637d1b5965524dc85e371538c97389546b02eb42c624ba6763560ce54e91d5,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-07-02T08:26:31Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x0ec151e22838bc48472b7b9bb504af620a6f84c544a94e18e288fbc603966297,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-07-02T08:27:09Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x28a7f633212703cc7081ffa95e6cf200787f15da4e8f00399057b660ce75d942,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-07-02T08:30:29Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0xebed6b7aae47d14857e4170c960acaba1c3b19aff1be2842c04628ca12cc119a,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-07-02T08:30:57Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0xb5337b81baeaf696304d6b22936de2073f5a5748f58b34a6b6dab817e89f6c22,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
2025-07-02T08:31:21Z,OPTIMISM,ENTRY,0x68bc3b81c853338eaaa21552f57437dfd7bf5b7f,0x41a272e1017cd7445e93d87fc91c8acf5cfbb15a3bac72b15df187125eb63083,0x416b433906b1b72fa758e166e239c43d68dc6f29,,method,"mint((address token0, address token1, int24 tickSpacing, int24 tickLower, int24 tickUpper, uint256 amount0Desired, uint256 amount1Desired, uint256 amount0Min, uint256 amount1Min, address recipient, uint256 deadline, uint"
